"ListName","ItemCount"
"Access Requests","1"
"appdata","0"
"appfiles","0"
"Approval Steps","0"
"Approval Workflows","0"
"Assignee List","0"
"Commonwealth Bank Of Australia - COMMONWEALTH BANK OF AUSTRALIA - SG Repository_Library","0"
"Commonwealth Bank Of Australia - COMMONWEALTH BANK OF AUSTRALIA - SG Repository_Tasks","0"
"Commonwealth Bank Of Australia - COMMONWEALTH BANK OF AUSTRALIA - SG Repository_Tools","5"
"Composed Looks","18"
"Connected Libraries","3"
"Connected Lists","0"
"Content type publishing error log","0"
"Converted Forms","0"
"Document Copy Audit","0"
"EDLWorkflowHistory","0"
"Engagement Library Status","3"
"EYI My Docs Workflow Mapping","0"
"EYI My Docs Workflow Task","0"
"eyimdInternalUse001","13"
"Form Templates","0"
"Forms and Letters Tracking Database","53"
"GEAR Document Links","0"
"List Template Gallery","0"
"Maintenance Log Library","4"
"Master Page Gallery","223"
"MicroFeed","2"
"Project Policy Item List","0"
"Search Config List","0"
"Site Assets","35"
"Site Pages","10"
"Solution Gallery","1"
"Style Library","5"
"TaxonomyHiddenList","4"
"Theme Gallery","42"
"User Information List","67"
"Web Part Gallery","72"
"wfpub","21"
"Workflows","6"
"Workspace Reports Library","0"
"Year 2021","38"
